cg16867657,cg14361627,cg07553761,cg24079702,cg19283806,Age
0.664057,0.3263099,0.3321276,0.4438911,0.1616318,75
0.6742641,0.2562554,0.326406,0.4443002,0.1749791,68
0.6536953,0.2366054,0.3038456,0.4302658,0.2655012,64
0.7038757,0.2186342,0.364307,0.4564534,0.185523,70
0.8620757,0.2742179,0.4249097,0.484808,0.2319323,92
0.7161008,0.1627825,0.4072357,0.3927238,0.1663195,74
0.7456732,0.253172,0.3484602,0.4661258,0.3000697,69
0.7919018,0.1980649,0.3699197,0.4066134,0.1186041,80
0.6547927,0.2011216,0.3486555,0.4896759,0.2909033,63
0.7602276,0.2609673,0.3577315,0.4200232,0.1916881,77
0.749477,0.2493015,0.3926416,0.4985026,0.3232917,81
0.7375706,0.2886272,0.4029193,0.4555965,0.1215606,82
0.6756786,0.2242891,0.3299178,0.4308093,0.2231579,69
0.7010816,0.2303097,0.3453608,0.4513525,0.1937902,73
0.7208824,0.2385171,0.3478009,0.4505381,0.1683268,66
0.6972325,0.1960679,0.5167168,0.3386969,0.04367433,87
0.6576649,0.2390484,0.3701185,0.4371841,0.2074966,68
0.6871896,0.2441106,0.325792,0.4342262,0.2106737,69
0.6930325,0.3123358,0.3734278,0.4709574,0.2467478,76
0.6804694,0.2213987,0.3253732,0.4218636,0.1880579,69
0.7487864,0.200842,0.3585443,0.4718333,0.1592905,81
0.6932516,0.2214442,0.3752532,0.4232465,0.3020414,71
0.6721138,0.2154949,0.4344865,0.4071717,0.1524918,71
0.6999256,0.2410508,0.332249,0.4035083,0.1844574,75
0.636647,0.2100838,0.310096,0.3517563,0.2656946,60
0.7705668,0.2087767,0.321024,0.4617453,0.1728111,77
0.7911128,0.2931478,0.3877979,0.4822112,0.1813497,85
0.6920041,0.2425265,0.3553258,0.4195922,0.2062276,70
0.6176794,0.1709868,0.2961907,0.4235851,0.2171967,62
0.6953726,0.2634094,0.3128833,0.470845,0.1772704,69
0.6839325,0.2695312,0.4704744,0.3414703,0.2335239,73
0.7381633,0.2402546,0.373961,0.4800671,0.2179431,73
0.743,0.2770466,0.347378,0.4737803,0.2055303,74
0.6705193,0.2232633,0.3234898,0.5034562,0.2038724,73
0.8120967,0.1654622,0.3644783,0.4892633,0.1483745,86
0.8043684,0.2495648,0.3502849,0.4519672,0.1555103,83
0.7829579,0.2399726,0.3695245,0.4966048,0.1440126,76
0.7398291,0.2214845,0.3638282,0.4603649,0.1435698,75
0.749061,0.1411262,0.435106,0.3079699,0.2839355,64
0.6613902,0.2199338,0.3188364,0.4195571,0.1964631,67
0.7669892,0.2605893,0.4345354,0.5315092,0.2008499,88
0.5818557,0.2257356,0.1876309,0.3880339,0.23648773,48
0.5789016,0.1998614,0.2090488,0.3300124,0.358322,44
0.5436248,0.2582638,0.2406979,0.3406359,0.2765998,48
0.6278726,0.2769145,0.2639743,0.4227988,0.203804,62
0.6387972,0.1588738,0.2304971,0.3756769,0.2415357,54
0.5516556,0.1544772,0.2053097,0.3229232,0.30168,46
0.6456164,0.2488851,0.3053765,0.455206,0.245159,60
0.5271779,0.1965606,0.1739649,0.3076911,0.2558689,40
0.5711899,0.1718489,0.1958802,0.3355338,0.2542516,43
0.5391032,0.1491139,0.2000102,0.3031106,0.2607498,41
0.6159512,0.2188733,0.2288144,0.2909251,0.2681286,53
0.5976619,0.2088884,0.2013193,0.2969404,0.1700942,48
0.7293382,0.2467957,0.2968601,0.3892135,0.1755255,71
0.5923342,0.223451,0.261186,0.3734882,0.2660391,52
0.6719288,0.2473309,0.2841505,0.3980266,0.273697,64
0.5374236,0.2152124,0.2541477,0.3162628,0.1554587,48
0.5920671,0.2390739,0.2079984,0.3883225,0.2499422,55
0.6766529,0.2979096,0.3293902,0.3838838,0.2459935,68
0.5742996,0.2034943,0.2396481,0.3822176,0.3674171,46
0.6491397,0.2632005,0.3006688,0.4235501,0.2020399,64
0.6405643,0.2380173,0.2383051,0.3766017,0.3171171,57
0.5746111,0.1507575,0.2249648,0.3628196,0.2813942,45
0.5939832,0.2029568,0.2634048,0.3590491,0.2850089,51
0.6227621,0.3143623,0.2590679,0.3887224,0.2879962,53
0.5950857,0.2442582,0.2465916,0.4009444,0.2166442,60
0.5649077,0.2313207,0.258222,0.3342194,0.2200832,51
0.6280606,0.4334187,0.1781382,0.2014893,0.2613625,73
0.542309,0.1857945,0.2174061,0.2991136,0.2605889,38
0.6600955,0.2284914,0.2476884,0.3637514,0.1881503,42
0.7020737,0.2982,0.2948011,0.441364,0.2302743,64
0.6300665,0.1934106,0.2608899,0.4066608,0.252445,58
0.5563503,0.1490304,0.2236016,0.3487279,0.1457501,43
0.5430824,0.2021192,0.2065965,0.3413342,0.3962908,38
0.5660599,0.1868914,0.2370311,0.3850758,0.2422124,54
0.6672972,0.1727137,0.254975,0.401311,0.1486095,70
0.5085794,0.1687853,0.2186517,0.3176329,0.3157315,44
0.6693259,0.2403137,0.2394889,0.3940339,0.2530859,62
0.6041524,0.2640085,0.192616,0.3699954,0.1448417,51
0.5321032,0.1731364,0.1882902,0.3722718,0.3118478,41
0.6289176,0.2305973,0.2564078,0.3339114,0.2871468,53
0.6475307,0.2279941,0.3001242,0.3895333,0.1541399,65
0.5762299,0.1764126,0.1954518,0.4024793,0.2985437,50
0.6318687,0.2394674,0.2433799,0.3404223,0.2170033,55
0.6718395,0.1976135,0.2216887,0.3451623,0.1762669,62
0.6536645,0.1896151,0.2889982,0.3925705,0.2106479,61
0.5223464,0.1762411,0.1622604,0.3001929,0.3409256,38
0.6531898,0.2012595,0.2847403,0.4013876,0.2454258,59
0.7209024,0.2356441,0.3691586,0.3876786,0.21681956,64
0.6443897,0.1921294,0.2209215,0.3320424,0.2882759,57
0.651798,0.2092059,0.2508888,0.3727801,0.2490823,57
0.5975207,0.2130261,0.2347984,0.385081,0.2481704,49
0.5836771,0.2241781,0.3130865,0.3639607,0.2245684,64
0.5987433,0.2109,0.2375861,0.3523916,0.2142441,66
0.5806379,0.255396,0.2687163,0.3507683,0.274627,52
0.6014122,0.1703421,0.2855207,0.3102586,0.2907977,43
0.5891222,0.2094607,0.2812645,0.3874546,0.2746608,49
0.6479005,0.1991875,0.2228469,0.3882253,0.2500594,51
0.6274773,0.2316196,0.261712,0.3884189,0.223699,58
0.6264083,0.2458048,0.2842159,0.4157917,0.1344056,63
0.6109402,0.2321294,0.2309696,0.3543061,0.261552,55
0.5749732,0.2134497,0.2349364,0.3532202,0.3029148,50
0.6531838,0.2464427,0.3025024,0.3709148,0.2255689,57
0.5448548,0.1690447,0.1633538,0.3266506,0.3464342,33
0.5554113,0.1784185,0.2308749,0.3097573,0.2961131,46
0.5644615,0.2105394,0.249028,0.3936474,0.2423006,46
0.6071173,0.2431857,0.272942,0.3824963,0.2325073,66
0.5914136,0.2043138,0.2604725,0.3551131,0.2140398,55
0.6330028,0.190999,0.2317454,0.4061763,0.2731139,64
0.4780285,0.19727,0.2174267,0.2882278,0.2014947,46
0.6822454,0.2698301,0.2761017,0.3680893,0.2268892,66
0.5728436,0.1814024,0.2645831,0.3204082,0.355158,47
0.5892625,0.2053425,0.2158419,0.3687842,0.1615593,58
0.6398885,0.2088983,0.2235574,0.3652303,0.2673115,61
0.5164029,0.1744056,0.259699,0.4018728,0.3032938,48
0.5786451,0.1714828,0.2600801,0.3268518,0.3212967,45
0.6241709,0.2541431,0.2596261,0.3665443,0.1983775,62
0.6026184,0.2040435,0.2760868,0.4387706,0.2799397,50
0.572477,0.1483568,0.2340918,0.3383885,0.2535803,34
0.6986392,0.2419114,0.2756784,0.3826462,0.1972724,64
0.6048538,0.2046692,0.2140509,0.3470123,0.2158005,55
0.556268,0.2048178,0.2070331,0.382804,0.3697705,48
0.5710604,0.2178039,0.2099927,0.3340218,0.2074925,60
0.7056828,0.2597162,0.2640816,0.4835674,0.3198879,64
0.619449,0.2042084,0.3117256,0.3803576,0.1904863,58
0.4875272,0.1403714,0.2152751,0.2790947,0.2279139,37
0.6673495,0.2323468,0.2807223,0.4912938,0.2211934,60
0.6732368,0.2571301,0.2314886,0.3732108,0.1709689,63
0.6692123,0.2013325,0.2700601,0.4135816,0.1688449,59
0.6164637,0.2192537,0.2586718,0.3858213,0.2155673,54
0.6584789,0.1929218,0.2299099,0.3972969,0.1235848,60
0.5659307,0.2397422,0.169895,0.344218,0.3316649,51
0.662773,0.218355,0.267787,0.4159576,0.1795397,63
0.6582711,0.1818597,0.2738017,0.3835596,0.1344354,64
0.6579181,0.2698608,0.3384134,0.3711445,0.1703119,64
0.5717049,0.2156966,0.231306,0.3275881,0.2674849,44
0.6292988,0.3129431,0.245742,0.4898347,0.1308648,65
0.653693,0.2313564,0.2690954,0.389145,0.2296814,66
0.6454803,0.2431307,0.248911,0.3571464,0.255383,51
0.6439961,0.2680921,0.2641411,0.428624,0.2418426,61
0.6017746,0.1811536,0.1962733,0.3397685,0.35339,52
0.6506217,0.2822867,0.2078649,0.3949966,0.160958,61
0.6557876,0.258504,0.2593994,0.3342429,0.213868,59
0.5658005,0.3056085,0.2466323,0.3629986,0.1859946,57
0.595024,0.17514,0.2834157,0.3849545,0.3087478,52
0.6264474,0.2005889,0.2337216,0.3224411,0.2295222,55
0.6380655,0.2884426,0.2814715,0.3887388,0.2456075,59
0.6125104,0.237279,0.2562457,0.4166674,0.2996747,59
0.6186974,0.2700776,0.2631802,0.4491843,0.2755039,61
0.5424914,0.1938147,0.2317092,0.3058732,0.2863465,46
0.5153831,0.1707975,0.2130955,0.3103552,0.4274942,31
0.6035582,0.2342968,0.2687772,0.4063453,0.2539642,55
0.5528153,0.2105641,0.2207715,0.347026,0.2402329,53
0.5252157,0.1510941,0.2211812,0.389233,0.2004782,42
0.6699464,0.2271395,0.2546585,0.4166498,0.3328304,59
0.5917516,0.2112225,0.2830876,0.3585127,0.365306,50
0.5932633,0.2337122,0.2563952,0.4104127,0.3221721,52
0.5439798,0.1701735,0.196007,0.3087997,0.3357487,45
0.6085905,0.2879854,0.2478001,0.3896337,0.2132818,65
0.6226103,0.2427838,0.2550636,0.4105255,0.3517756,59
0.5986624,0.1923746,0.2241419,0.4047263,0.2756263,58
0.6739597,0.2238061,0.2779011,0.4202935,0.2002286,64
0.6366262,0.2271386,0.2514821,0.444761,0.2028756,61
0.6014139,0.228225,0.2544615,0.3504451,0.2157711,67
0.6353185,0.2393687,0.227537,0.3685524,0.2963567,59
0.6269367,0.2351343,0.2392517,0.3179419,0.2095324,58
0.5481847,0.1964621,0.2207757,0.345971,0.3292673,54
0.6166175,0.2235948,0.2140437,0.412598,0.3488204,57
0.6484277,0.2193794,0.2168197,0.4383501,0.2585359,60
0.598914,0.2177745,0.2270479,0.3091493,0.3549234,50
0.5968573,0.2021604,0.2111693,0.4053873,0.3147146,57
0.6244575,0.2230788,0.2342776,0.3689843,0.1340047,66
0.5538158,0.1855243,0.2235003,0.3267791,0.279722,44
0.6042209,0.2510065,0.2526327,0.434206,0.3176004,62
0.6423133,0.2334184,0.2335256,0.3724502,0.1405177,76
0.5645384,0.2071994,0.2460404,0.3617117,0.2335496,48
0.5875615,0.2020867,0.2311618,0.3741793,0.2100216,46
0.5926768,0.1843116,0.2485853,0.3406076,0.3166384,41
0.6356154,0.2274859,0.308084,0.3896914,0.262591,59
0.6125302,0.1645345,0.2573271,0.3313709,0.223703,52
0.5995725,0.1976009,0.2556763,0.3577042,0.2115342,50
0.5786074,0.1791588,0.2035713,0.3144379,0.335481,45
0.6298365,0.253769,0.2886123,0.3631583,0.2051447,52
0.6584588,0.2083822,0.2699043,0.3749489,0.2392103,54
0.7225923,0.2606689,0.2754305,0.3266698,0.1579722,62
0.6083297,0.204191,0.2857805,0.417549,0.2271725,62
0.6633443,0.2896844,0.2302043,0.4134308,0.1506722,63
0.6446975,0.2493673,0.2202865,0.3597078,0.1578472,55
0.6638388,0.2272314,0.2637866,0.4405384,0.247572,60
0.5796906,0.2180937,0.2521013,0.2872155,0.09211746,65
0.6561306,0.2428569,0.2581656,0.3306776,0.1991972,64
0.6552501,0.2526252,0.2859602,0.3166032,0.08533292,57
0.6587797,0.2156677,0.2463455,0.4113988,0.1987095,63
0.5573677,0.1855165,0.1849337,0.3708625,0.3088334,40
0.6773084,0.2597973,0.2084191,0.3536717,0.2354468,57
0.5688207,0.1682256,0.1899841,0.2941497,0.2750952,38
0.6676316,0.2939318,0.2700717,0.4184797,0.2819049,64
0.6585199,0.2031909,0.2520162,0.4086394,0.2281797,59
0.6430335,0.1572186,0.3080555,0.3963262,0.0904742,58
0.5698231,0.1849429,0.1956483,0.3149658,0.3087028,41
0.6548464,0.2294378,0.2663754,0.3984751,0.2995628,58
0.5256757,0.1412211,0.1997802,0.3186309,0.385776,26
0.6224004,0.2530016,0.2569854,0.3715529,0.2127717,61
0.6517859,0.2182693,0.2531402,0.398259,0.2045857,56
0.6789581,0.2775688,0.2990338,0.4173525,0.1916308,66
0.6746085,0.2684605,0.2655332,0.4891239,0.2258169,62
0.553442,0.2158276,0.2935906,0.3812899,0.2565625,56
0.6401168,0.2186591,0.2342799,0.3563677,0.1449581,55
0.6136215,0.1895434,0.2691011,0.3719963,0.2602199,61
0.6544306,0.2201526,0.2685664,0.4313624,0.2892625,58
0.6582505,0.2514776,0.297978,0.385632,0.1984387,53
0.6826398,0.2381666,0.2927214,0.4037639,0.1945593,63
0.6017578,0.2571571,0.22369,0.3808585,0.3699566,59
0.5891272,0.2468963,0.2974188,0.3834383,0.2357839,61
0.6716267,0.2617771,0.2533646,0.4109226,0.1642488,66
0.6425893,0.2568672,0.2391761,0.3645367,0.260242,65
0.6719386,0.2399595,0.2603384,0.3776757,0.2861859,58
0.5462663,0.190144,0.2148832,0.3519848,0.2142182,43
0.6243407,0.194394,0.2817434,0.3609588,0.2016985,55
0.5792117,0.2208469,0.217172,0.3570646,0.2376256,47
0.6633087,0.2365747,0.2244354,0.3879832,0.2002531,50
0.6037562,0.2187874,0.2144831,0.3328605,0.3242149,46
0.5770513,0.178055,0.198821,0.3448491,0.2982206,54
0.7227577,0.2327197,0.3734286,0.4970186,0.05272972,80
0.7600116,0.2199738,0.29414296,0.3601385,0.1305797,83
0.7024027,0.3022637,0.2949185,0.4018955,0.1126307,77
0.6819031,0.2937755,0.2824983,0.4962415,0.239886,76
0.6568551,0.2846687,0.2525032,0.3859401,0.2317389,64
